# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	Raul_May_2019
# Description:	 	Au referencia
# Date:	 	05/19/2019 23:34:43
# Scanner Center Position (X, Y):	[µm]	49.79	50.07	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	600.000	500.000	 
# Averaging:	 	40	 	 
# Integration time:	[ms]	20	 	 
# Laser Source:	 	Synchrotron
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	237,595.092	 	 
# Tip Amplitude:	[mV]	18.700	 	 
# Tapping Amplitude:	[nm]	88.575	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	70.46	 	 
# Regulator (P, I, D):	 	1.654753	8.971036	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	4.978	 	 
# Version:	 	1.8.4702.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	26	63.73267354285	6.248593	1.419831	0.4359078	-0.04778966	0.2702094	-0.3434094	0.1290742	-0.9331373	0.3443308	1.396463	0.00387888	0.07307894	
0	0	27	66.183930217575	13.38694	0.6356381	0.5642152	-1.151966	0.2683082	-1.604783	0.08689845	-1.987987	0.2005331	-0.02027975	0.003177069	-0.6772025	
0	0	28	68.6351868923	17.40561	-0.2700398	0.5080033	-2.113573	0.2409144	-2.956368	0.07141493	2.894586	0.1634873	-2.007649	0.002269277	-1.600865	
0	0	29	71.086443567025	17.24233	-1.235545	0.2955885	-2.926299	0.2273338	1.813368	0.09331428	1.611909	0.2595905	2.661772	0.001649294	-2.900876	
0	0	30	73.53770024175	13.38292	-2.315195	0.09149382	-2.435192	0.2672309	0.3210831	0.1237216	0.648271	0.3737735	1.448287	0.001983636	1.93861	
0	0	31	75.988956916475	8.513709	2.544897	0.2901137	-2.218714	0.3345499	-0.9482841	0.1412626	-0.1789597	0.4703555	0.3508937	0.002826622	0.8484919	
0	0	32	78.4402135912	8.433862	0.6913683	0.420477	-2.9538	0.380521	-2.044644	0.1359265	-0.9398947	0.5421072	-0.707177	0.003496141	-0.08348552	
0	0	33	80.891470265925	11.88091	-0.6938913	0.3876835	2.604442	0.3789937	-3.034879	0.1060185	-1.614138	0.5854614	-1.750948	0.003672606	-1.009479	
0	0	34	83.34272694065	13.13141	-1.798485	0.2437564	2.224344	0.3283959	2.342502	0.0630476	-1.990642	0.5955687	-2.792837	0.003302494	-2.026549	
0	0	35	85.793983615375	10.67362	-2.877583	0.2652369	2.539009	0.2468045	1.539643	0.05757244	-1.654637	0.5663262	2.438248	0.002732709	3.021516	
0	0	36	88.2452402901	5.815312	2.017046	0.4647019	2.115099	0.1652955	0.9069822	0.1034058	-1.939844	0.4936502	1.353987	0.002749257	1.578334	
