# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	Raul_May_2019
# Description:	 	SnO2_nanowire1 _10cm-1_1024px
# Date:	 	05/18/2019 17:11:19
# Reference:	 	05/18/2019 15:12:53 Au_10cm-1_1024px_CEN_600cm-1
# Scanner Center Position (X, Y):	[µm]	39.05	39.59	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	600.000	500.000	 
# Averaging:	 	40	 	 
# Integration time:	[ms]	20	 	 
# Laser Source:	 	Synchrotron
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	237,581.187	 	 
# Tip Amplitude:	[mV]	22.000	 	 
# Tapping Amplitude:	[nm]	96.868	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	73.54	 	 
# Regulator (P, I, D):	 	3.507821	9.892523	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	4.978	 	 
# Version:	 	1.8.4702.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	46	112.75780703735	0	0	0	0	0	0	0	0	1.006655	1.524329	0.6225916	-0.7658324	
0	0	47	115.209063712075	0.4741109	0.9007302	0	0	0	0	0	0	0.5693139	1.748744	0.4259754	-0.7327156	
0	0	48	117.6603203868	0	0	0	0	0	0	0	0	0.2182489	0.774352	0.1569422	-1.560139	
0	0	49	120.111577061525	0	0	0	0	0	0	0	0	0.7382444	-0.009646899	0.7626495	-2.544461	
0	0	50	122.56283373625	0	0	0	0	0	0	0	0	1.637653	0.2672281	1.582703	-1.80285	
0	0	51	125.014090410975	0	0	0	0	0	0	0	0	2.768044	0.8715854	1.5039	-1.156324	
0	0	52	127.4653470857	0	0	0	0	0	0	0	0	3.048705	1.687415	1.208853	-0.7733481	
0	0	53	129.916603760425	0	0	0	0	0	0	0	0	2.348362	2.334816	0.9478679	-0.4930235	
0	0	54	132.36786043515	0	0	0	0	0	0	0	0	1.691048	2.808232	0.7285066	-0.2493583	
0	0	55	134.819117109875	0	0	0	0	0	0	0	0	1.208485	-3.040021	0.5371717	-0.01074629	
0	0	56	137.2703737846	0	0	0	0	0	0	0	0	0.8187708	-2.547049	0.3512124	0.2376246	
0	0	57	139.721630459325	0	0	0	0	0	0	0	0	0.4574836	-1.898086	0.1434105	0.4071513	
0	0	58	142.17288713405	0	0	0	0	0	0	0	0	0.1411393	-0.809916	0.1317805	-1.772607	
0	0	59	144.624143808775	0	0	0	0	0	0	0	0	0.1051615	1.774127	0.4699144	-1.572501	
0	0	60	147.0754004835	0	0	0	0	0	0	0	0	0.1240322	2.720968	0.9310295	-1.15762	
0	0	61	149.526657158225	0.2440241	-2.054106	0	0	0	0	0	0	0.03880351	-2.374933	1.559135	-0.6360749	
0	0	62	151.97791383295	0.1505445	1.161582	0	0	0	0	0	0	0.181416	0.1234519	2.163578	0.03635158	
0	0	63	154.429170507675	0	0	0	0	0	0	0	0	0.5251552	0.5717369	2.151691	0.7210528	
0	0	64	156.8804271824	0	0	0	0	0	0	0	0	1.094066	0.8990251	1.709795	1.19554	
0	0	65	159.331683857125	0	0	0	0	0	0	0	0	2.039166	1.185513	1.272641	1.47528	
0	0	66	161.78294053185	0.7432847	-1.308903	0	0	0	0	0	0	0	0	0.9011726	1.619147	
0	0	67	164.234197206575	0.6810434	-1.976265	0	0	0	0	0	0	0	0	0.5668344	1.611443	
0	0	68	166.6854538813	0.7851065	-2.289384	0	0	0	0	0	0	0	0	0.281428	1.170379	
0	0	69	169.136710556025	0.9313114	-2.367475	0	0	0	0	0	0	0	0	0.3027809	-0.1371844	
0	0	70	171.58796723075	1.072149	-2.294654	0	0	0	0	0	0	0	0	0.573922	-0.6761677	
0	0	71	174.039223905475	1.161484	-2.074698	0	0	0	0	0	0	0	0	0.7574462	-1.088857	
0	0	72	176.4904805802	0	0	0	0	0	0	0	0	0	0	0.7541693	-1.76637	
0	0	73	178.941737254925	0	0	0	0	0	0	0	0	0	0	0.7756559	-2.69231	
0	0	74	181.39299392965	0	0	0	0	0	0	0	0	0	0	0.9255193	2.929668	
0	0	75	183.844250604375	0	0	0	0	0	0	0	0	0	0	1.002834	2.584443	
0	0	76	186.2955072791	0	0	0	0	0	0	0	0	0	0	0.9396145	2.399058	
0	0	77	188.746763953825	1.307924	-2.692798	0	0	0	0	0	0	0	0	0.757039	2.326456	
0	0	78	191.19802062855	0.8049425	-2.594263	0	0	0	0	0	0	0	0	0.5305124	2.444012	
