# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	Raul_May_2019
# Description:	 	Au_10cm-1_1024px_CEN_600cm-1
# Date:	 	05/18/2019 15:12:53
# Scanner Center Position (X, Y):	[µm]	49.76	49.71	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	600.000	500.000	 
# Averaging:	 	40	 	 
# Integration time:	[ms]	20	 	 
# Laser Source:	 	Synchrotron
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	237,581.187	 	 
# Tip Amplitude:	[mV]	22.000	 	 
# Tapping Amplitude:	[nm]	92.004	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	73.54	 	 
# Regulator (P, I, D):	 	3.507821	9.892523	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	4.978	 	 
# Version:	 	1.8.4702.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	30	73.53770024175	4.279891	1.954504	0.8157389	1.865359	0.1035911	0.4929893	0.2094602	-0.1959562	0.686966	0.9364401	0.00576861	2.388142	
0	0	31	75.988956916475	2.105255	-3.018542	0.3698785	0.9873242	0.1571432	-0.6612074	0.243175	-1.252681	0.6740009	0.02646108	0.006134532	1.341326	
0	0	32	78.4402135912	10.04262	2.944106	0.1146049	1.91369	0.182972	-1.735344	0.2766826	-2.338974	0.6075311	-1.012518	0.005461374	0.3303191	
0	0	33	80.891470265925	19.3127	2.158916	0.4010043	1.469559	0.1786158	-2.837356	0.3067669	2.867762	0.5473956	-2.215019	0.003846924	-0.6919771	
0	0	34	83.34272694065	27.65911	1.348434	0.6190843	0.3246997	0.1570619	2.234906	0.3238989	1.818446	0.5644542	2.776851	0.001654282	-1.905301	
0	0	35	85.793983615375	33.3137	0.5537819	0.8290514	-0.9060513	0.145571	0.8805615	0.3182657	0.7946024	0.6530817	1.571994	0.001265653	1.373048	
0	0	36	88.2452402901	35.39705	-0.2012882	1.074616	-2.068656	0.1620974	-0.437859	0.2856537	-0.2140872	0.741426	0.4886636	0.003390788	0.0443473	
0	0	37	90.696496964825	34.43061	-0.8916889	1.290094	-3.106675	0.1898966	-1.555331	0.2297466	-1.222156	0.7731811	-0.5286711	0.005010402	-0.9582064	
0	0	38	93.14775363955	32.37609	-1.502266	1.384408	2.258282	0.2062799	-2.505592	0.1610258	-2.253219	0.728465	-1.531404	0.005786469	-1.920128	
0	0	39	95.599010314275	31.4424	-2.069221	1.332411	1.461376	0.202484	2.940905	0.09385861	2.91713	0.6176524	-2.562921	0.005685017	-2.886396	
